owner_id,week,rank,routed,signal_id,account_id,detector,tier,deserved_reason,severity,days_to_renewal,arr_annual,agent_routed,outcome,arr_delta,attribution
u_001,2026-W14,1,False,sig_0087,acct_0047,security_review_opened,3,no spec condition requires a human,P2,9,21000,False,renewed_expansion,3300,none
u_001,2026-W14,2,False,sig_0099,acct_0114,usage_cliff,3,no spec condition requires a human,P2,136,230000,False,renewed_late,0,uncertain
u_001,2026-W14,3,False,sig_0098,acct_0114,seat_decay,4,no spec condition requires a human,P2,136,230000,True,renewed_flat,0,uncertain
u_001,2026-W16,1,False,sig_0157,acct_0061,exec_churn_language,3,no spec condition requires a human,P2,110,75000,False,churned,-75000,uncertain
u_001,2026-W16,2,False,sig_0145,acct_0025,exec_churn_language,3,no spec condition requires a human,P3,77,272500,False,renewed_flat,0,none
u_001,2026-W18,1,True,sig_0189,acct_0112,exec_churn_language,1,§4.6 enrichment timed out; a signal that timed out waiting for data must still reach a human,P1,12,49000,False,renewed_flat,0,none
u_001,2026-W18,2,False,sig_0220,acct_0114,seat_decay,3,no spec condition requires a human,P2,108,230000,True,downgraded,-53900,uncertain
u_001,2026-W20,1,True,sig_0258,acct_0042,billing_dispute,1,§8.1 mandatory-route trigger: ['billing_dispute'],P1,20,115000,True,downgraded,-62800,uncertain
u_001,2026-W20,2,False,sig_0257,acct_0042,exec_churn_language,3,no spec condition requires a human,P2,21,115000,True,renewed_flat,0,uncertain
u_001,2026-W21,1,False,sig_0295,acct_0053,usage_cliff,4,no spec condition requires a human,P3,-53,197500,True,renewed_flat,0,uncertain
u_001,2026-W23,1,True,sig_0397,acct_0061,exec_churn_language,1,§4.6 enrichment timed out; a signal that timed out waiting for data must still reach a human,P1,62,75000,False,downgraded,-22200,none
u_001,2026-W23,2,False,sig_0392,acct_0025,sentiment_drop,3,no spec condition requires a human,P1,27,272500,True,renewed_flat,0,uncertain
u_001,2026-W24,1,True,sig_0435,acct_0030,seat_decay,1,§4.6 enrichment timed out; a signal that timed out waiting for data must still reach a human,P3,97,815000,False,pending,0,
u_001,2026-W24,2,False,sig_0408,acct_0042,exec_churn_language,3,no spec condition requires a human,P1,-6,115000,True,downgraded,-25500,uncertain
u_001,2026-W24,3,False,sig_0450,acct_0061,seat_decay,4,no spec condition requires a human,P1,54,75000,False,renewed_late,0,none
u_001,2026-W24,4,False,sig_0447,acct_0053,usage_cliff,4,no spec condition requires a human,P2,-74,197500,False,downgraded,-30700,uncertain
u_001,2026-W24,5,False,sig_0469,acct_0112,usage_cliff,4,no spec condition requires a human,P3,-36,49000,False,renewed_expansion,16500,uncertain
u_001,2026-W25,1,True,sig_0517,acct_0061,ticket_storm,1,§4.6 enrichment timed out; a signal that timed out waiting for data must still reach a human,P1,51,75000,True,downgraded,-22400,uncertain
u_001,2026-W25,2,True,sig_0514,acct_0053,exec_churn_language,1,§8.1 mandatory-route trigger: ['legal_reference'],P1,-76,197500,False,churned,-197500,none
u_001,2026-W25,3,True,sig_0521,acct_0167,renewal_silence,1,§8.1 mandatory-route trigger: ['billing_dispute'],P2,56,56000,True,renewed_flat,0,uncertain
u_001,2026-W25,4,True,sig_0522,acct_0053,security_review_opened,1,§8.1 mandatory-route trigger: ['legal_reference'],P2,-79,197500,False,downgraded,-43100,uncertain
u_001,2026-W25,5,False,sig_0523,acct_0061,sentiment_drop,3,no spec condition requires a human,P1,49,75000,True,churned,-75000,uncertain
u_001,2026-W25,6,False,sig_0528,acct_0025,usage_cliff,4,no spec condition requires a human,P2,10,272500,False,renewed_flat,0,none
u_001,2026-W26,1,True,sig_0541,acct_0053,sentiment_drop,1,§8.1 mandatory-route trigger: ['legal_reference'],P1,-85,197500,True,renewed_flat,0,certain
u_001,2026-W28,1,True,sig_0613,acct_0053,ticket_storm,1,§8.1 mandatory-route trigger: ['legal_reference'],P1,-98,197500,True,downgraded,-104200,none
